id,symbol,date,prediction
1,BTC,2026-09-21,0.9916666666666667
1027,ETH,2026-09-21,0.995
1839,BNB,2026-09-21,0.9983333333333333
52,XRP,2026-09-21,0.8916666666666667
5426,SOL,2026-09-21,0.975
1958,TRX,2026-09-21,0.9883333333333333
1437,ZEC,2026-09-21,0.23833333333333334
32196,HYPE,2026-09-21,0.9016666666666666
74,DOGE,2026-09-21,0.8583333333333333
328,XMR,2026-09-21,0.915
38341,RAIN,2026-09-21,0.4483333333333333
1975,LINK,2026-09-21,0.9583333333333334
2010,ADA,2026-09-21,0.815
3957,LEO,2026-09-21,0.8383333333333334
512,XLM,2026-09-21,0.8716666666666667
6535,NEAR,2026-09-21,0.16166666666666665
7083,UNI,2026-09-21,0.305
1831,BCH,2026-09-21,0.8183333333333334
5805,AVAX,2026-09-21,0.5916666666666667
2,LTC,2026-09-21,0.9816666666666667
37263,CC,2026-09-21,0.655
20947,SUI,2026-09-21,0.43833333333333335
4642,HBAR,2026-09-21,0.8516666666666667
11419,GRAM,2026-09-21,0.895
22974,TAO,2026-09-21,0.5616666666666666
5994,SHIB,2026-09-21,0.785
35491,M,2026-09-21,0.415
3635,CRO,2026-09-21,0.8816666666666667
5176,XAUt,2026-09-21,0.8683333333333333
3897,OKB,2026-09-21,0.985
39158,BTW,2026-09-21,0.3616666666666667
7278,AAVE,2026-09-21,0.745
21159,ONDO,2026-09-21,0.645
27075,MNT,2026-09-21,0.835
30171,ENA,2026-09-21,0.075
6636,DOT,2026-09-21,0.49166666666666664
36507,PUMP,2026-09-21,0.14166666666666666
36341,ASTER,2026-09-21,0.8216666666666667
24478,PEPE,2026-09-21,0.3416666666666667
33251,WLFI,2026-09-21,0.765
8916,ICP,2026-09-21,0.8283333333333334
13502,WLD,2026-09-21,0.365
33038,SKY,2026-09-21,0.775
29160,HTX,2026-09-21,0.7316666666666667
35509,VVV,2026-09-21,0.095
11841,ARB,2026-09-21,0.085
11092,BGB,2026-09-21,0.9783333333333334
1321,ETC,2026-09-21,0.845
34104,MORPHO,2026-09-21,0.7483333333333333
38127,AKE,2026-09-21,0.0016666666666666668
28321,POL,2026-09-21,0.7416666666666667
20396,KAS,2026-09-21,0.5083333333333333
4269,GT,2026-09-21,0.9516666666666667
39125,LIT,2026-09-21,0.235
37745,CTM,2026-09-21,0.7683333333333333
2087,KCS,2026-09-21,0.9616666666666667
4030,ALGO,2026-09-21,0.6583333333333333
35697,PI,2026-09-21,0.6016666666666667
29210,JUP,2026-09-21,0.20166666666666666
5690,RENDER,2026-09-21,0.725
3794,ATOM,2026-09-21,0.7783333333333333
28853,JLP,2026-09-21,0.9083333333333333
5488,JST,2026-09-21,0.925
2280,FIL,2026-09-21,0.32166666666666666
7186,CAKE,2026-09-21,0.735
3155,QNT,2026-09-21,0.9683333333333334
3077,VET,2026-09-21,0.3983333333333333
7226,INJ,2026-09-21,0.28833333333333333
131,DASH,2026-09-21,0.2683333333333333
29270,AERO,2026-09-21,0.22166666666666668
21794,APT,2026-09-21,0.24166666666666667
29814,ETHFI,2026-09-21,0.2783333333333333
2634,XDC,2026-09-21,0.905
4847,STX,2026-09-21,0.16833333333333333
35336,TRUMP,2026-09-21,0.21166666666666667
7950,FLR,2026-09-21,0.7816666666666666
3987,BDX,2026-09-21,0.5983333333333334
6538,CRV,2026-09-21,0.575
2694,NEXO,2026-09-21,0.9716666666666667
34466,PENGU,2026-09-21,0.3383333333333333
38849,PIEVERSE,2026-09-21,0.265
38590,币安人生,2026-09-21,0.45166666666666666
28177,PYTH,2026-09-21,0.465
8526,RAY,2026-09-21,0.11166666666666666
29420,VIRTUAL,2026-09-21,0.7083333333333334
28081,SPX,2026-09-21,0.3283333333333333
3773,FET,2026-09-21,0.37166666666666665
23149,SEI,2026-09-21,0.375
26997,ZRO,2026-09-21,0.4216666666666667
9481,PENDLE,2026-09-21,0.3516666666666667
40938,PONS,2026-09-21,0.06166666666666667
39064,NIGHT,2026-09-21,0.46166666666666667
22861,TIA,2026-09-21,0.405
2011,XTZ,2026-09-21,0.255
38339,UB,2026-09-21,0.205
3602,BSV,2026-09-21,0.9116666666666666
16086,BTT,2026-09-21,0.8783333333333333
36063,BR,2026-09-21,0.018333333333333333
22691,STRK,2026-09-21,0.105
1168,DCR,2026-09-21,0.435
1659,GNO,2026-09-21,0.9483333333333334
4172,LUNC,2026-09-21,0.885
5632,AR,2026-09-21,0.11833333333333333
30495,MON,2026-09-21,0.715
10603,IMX,2026-09-21,0.665
38828,KITE,2026-09-21,0.43166666666666664
23095,BONK,2026-09-21,0.36833333333333335
35014,DRV,2026-09-21,0.015
11840,OP,2026-09-21,0.34833333333333333
13855,ENS,2026-09-21,0.585
7334,CFX,2026-09-21,0.795
36828,USELESS,2026-09-21,0.025
10804,FLOKI,2026-09-21,0.6483333333333333
33824,SYRUP,2026-09-21,0.625
36743,TIBBIR,2026-09-21,0.065
27048,APEPE,2026-09-21,0.395
6719,GRT,2026-09-21,0.40166666666666667
5964,TWT,2026-09-21,0.5516666666666666
40925,AI,2026-09-21,0.175
28752,WIF,2026-09-21,0.225
9816,NFT,2026-09-21,0.6883333333333334
39332,ZAMA,2026-09-21,0.10833333333333334
39671,龙虾,2026-09-21,0.165
5692,COMP,2026-09-21,0.9183333333333333
1720,IOTA,2026-09-21,0.6083333333333333
30494,EIGEN,2026-09-21,0.4683333333333333
39686,BP,2026-09-21,0.07833333333333334
2416,THETA,2026-09-21,0.455
8425,JASMY,2026-09-21,0.5816666666666667
4157,RUNE,2026-09-21,0.7116666666666667
32880,KAIA,2026-09-21,0.525
39720,EDGE,2026-09-21,0.125
30636,ZBCN,2026-09-21,0.5883333333333334
9903,CVX,2026-09-21,0.44166666666666665
36532,B,2026-09-21,0.15833333333333333
7431,AKT,2026-09-21,0.355
33597,FARTCOIN,2026-09-21,0.13166666666666665
30986,KMNO,2026-09-21,0.27166666666666667
6783,AXS,2026-09-21,0.9216666666666666
27960,NPC,2026-09-21,0.07166666666666667
9104,AIOZ,2026-09-21,0.058333333333333334
38515,2Z,2026-09-21,0.385
2467,TRAC,2026-09-21,0.6383333333333333
1376,NEO,2026-09-21,0.8983333333333333
4041,MX,2026-09-21,0.965
34261,WFI,2026-09-21,0.705
18679,XCN,2026-09-21,0.4116666666666667
1966,MANA,2026-09-21,0.9316666666666666
10791,XEC,2026-09-21,0.7583333333333333
4066,CHZ,2026-09-21,0.7283333333333334
40809,CASHCAT,2026-09-21,0.011666666666666667
8646,MINA,2026-09-21,0.06833333333333333
7326,DEXE,2026-09-21,0.275
37322,VSN,2026-09-21,0.9416666666666667
10180,GOMINING,2026-09-21,0.8883333333333333
29960,SHFL,2026-09-21,0.7883333333333333
38353,MET,2026-09-21,0.17166666666666666
36462,A,2026-09-21,0.5316666666666666
8119,SFP,2026-09-21,0.9283333333333333
25194,JSM,2026-09-21,0.6183333333333333
18876,APE,2026-09-21,0.8116666666666666
8104,1INCH,2026-09-21,0.9383333333333334
1698,ZEN,2026-09-21,0.19833333333333333
36922,H,2026-09-21,0.31833333333333336
38868,SENT,2026-09-21,0.345
6892,EGLD,2026-09-21,0.12833333333333333
23635,FORM,2026-09-21,0.135
4691,ZANO,2026-09-21,0.22833333333333333
1697,BAT,2026-09-21,0.805
24091,ZK,2026-09-21,0.335
4006,AWE,2026-09-21,0.8416666666666667
1455,GLM,2026-09-21,0.7616666666666667
6210,SAND,2026-09-21,0.6683333333333333
39841,GENIUS,2026-09-21,0.445
20969,GEOD,2026-09-21,0.38166666666666665
36542,SOON,2026-09-21,0.6316666666666667
28324,DYDX,2026-09-21,0.5283333333333333
10508,FLUID,2026-09-21,0.595
28656,VCNT,2026-09-21,0.8483333333333334
33391,DEEP,2026-09-21,0.19166666666666668
30933,DOG,2026-09-21,0.14833333333333334
32684,S,2026-09-21,0.08833333333333333
30083,ATH,2026-09-21,0.5016666666666667
38236,Q,2026-09-21,0.565
35347,MELANIA,2026-09-21,0.5783333333333334
39377,SKR,2026-09-21,0.03833333333333333
36769,BULLA,2026-09-21,0.08166666666666667
1684,QTUM,2026-09-21,0.865
33280,CHEEMS,2026-09-21,0.7983333333333333
7080,GALA,2026-09-21,0.26166666666666666
1214,LSK,2026-09-21,0.005
3964,RSR,2026-09-21,0.825
25028,ORDI,2026-09-21,0.545
40944,MARSCOIN,2026-09-21,0.035
1896,ZRX,2026-09-21,0.855
32956,GRASS,2026-09-21,0.33166666666666667
35818,SOSO,2026-09-21,0.2916666666666667
35364,PLUME,2026-09-21,0.41833333333333333
36902,SN51,2026-09-21,0.315
28298,BEAM,2026-09-21,0.37833333333333335
7548,WEMIX,2026-09-21,0.555
8290,SUPER,2026-09-21,0.285
38841,UAI,2026-09-21,0.09166666666666666
38767,NOCK,2026-09-21,0.20833333333333334
14588,PEAQ,2026-09-21,0.041666666666666664
39870,CHIP,2026-09-21,0.09833333333333333
11165,ORCA,2026-09-21,0.685
4120,PROM,2026-09-21,0.10166666666666667
1785,GAS,2026-09-21,0.6783333333333333
19269,COW,2026-09-21,0.6916666666666667
21259,ZETA,2026-09-21,0.18166666666666667
4195,FTT,2026-09-21,0.3883333333333333
5665,HNT,2026-09-21,0.028333333333333332
34958,TAG,2026-09-21,0.31166666666666665
7127,VELO,2026-09-21,0.24833333333333332
36119,WAL,2026-09-21,0.195
3701,RIF,2026-09-21,0.485
36576,HUMA,2026-09-21,0.48833333333333334
5034,KSM,2026-09-21,0.515
40092,O,2026-09-21,0.4716666666666667
39070,KNTQ,2026-09-21,0.25166666666666665
3640,LPT,2026-09-21,0.6116666666666667
11857,GMX,2026-09-21,0.8083333333333333
35763,KAITO,2026-09-21,0.215
21585,SAFE,2026-09-21,0.635
5864,YFI,2026-09-21,0.8316666666666667
2586,SNX,2026-09-21,0.875
109,DGB,2026-09-21,0.3016666666666667
38186,DIEM,2026-09-21,0.21833333333333332
